Date planifiée,Mois,Moment de la journée,Id BT,Statut BT,No.local,Description local,No.tâche,Description tâche,Nom route,Nom utilisateur,Temps planifié,Date originale,Date planifiée.1,Date exécutée,Temps réel,Type,Mois_Année,Bâtiment,Retard (jours)
2025-05-30,mai,Jour,60089069,Non-fait,258-B1,Classe 1er cycle,Ntable,Nettoyer table,Route 1 - jour Bellecombe,,7.5,2025-05-30 00:00:00,2025-05-30 00:00:00,,,Récurrent,2025-05,Bellecombe,
2025-05-30,mai,Jour,60088993,Non-fait,100-2-B1,Escalier,Lplanchmo,Laver plancher moppe 24 oz,Route 1 - jour Bellecombe,,1.0,2025-05-30 00:00:00,2025-05-30 00:00:00,,,Récurrent,2025-05,Bellecombe,
2025-05-30,mai,Jour,60089380,Non-fait,257-B2,Classe maternelle,Nchaise,Nettoyer chaises,Route 2 - jour Entre-Lacs,,3.75,2025-05-30 00:00:00,2025-05-30 00:00:00,,,Récurrent,2025-05,Entre-Lacs,
2025-05-30,mai,Jour,60089381,Non-fait,257-B2,Classe maternelle,Ntable,Nettoyer table,Route 2 - jour Entre-Lacs,,7.5,2025-05-30 00:00:00,2025-05-30 00:00:00,,,Récurrent,2025-05,Entre-Lacs,
2025-05-30,mai,Jour,60089384,Non-fait,257-B2,Classe maternelle,Ncomptoir,Nettoyer comptoir,Route 2 - jour Entre-Lacs,,0.75,2025-05-30 00:00:00,2025-05-30 00:00:00,,,Récurrent,2025-05,Entre-Lacs,
2025-05-30,mai,Jour,60089408,Non-fait,264-B2,Classe 1er cycle,Ncomptoir,Nettoyer comptoir,Route 2 - jour Entre-Lacs,,0.75,2025-05-30 00:00:00,2025-05-30 00:00:00,,,Récurrent,2025-05,Entre-Lacs,
2025-05-30,mai,Jour,60089420,Non-fait,266-B2,Classe 2e cycle,Ncomptoir,Nettoyer comptoir,Route 2 - jour Entre-Lacs,,0.75,2025-05-30 00:00:00,2025-05-30 00:00:00,,,Récurrent,2025-05,Entre-Lacs,
2025-05-30,mai,Jour,60089316,Non-fait,1-003-B2,Corridor,Vpoubelle,Vider poubelles et recupération,Route 2 - jour Entre-Lacs,,0.75,2025-05-30 00:00:00,2025-05-30 00:00:00,,,Récurrent,2025-05,Entre-Lacs,
2025-05-30,mai,Jour,60215640,Non-fait,100-2,Escalier,Lplanchmo,Laver plancher moppe 24 oz,Route 3 - jour La Source,,1.0,2025-05-30 00:00:00,2025-05-30 00:00:00,,,Récurrent,2025-05,La Source,
2025-05-30,mai,Jour,60215639,Non-fait,100-2,Escalier,Vplanch36,"Vadrouiller plancher 36""",Route 3 - jour La Source,,1.11,2025-05-30 00:00:00,2025-05-30 00:00:00,,,Récurrent,2025-05,La Source,
2025-05-30,mai,Jour,60215725,Non-fait,261,Classe 1er cycle,Ncomptoir,Nettoyer comptoir,Route 3 - jour La Source,,0.75,2025-05-30 00:00:00,2025-05-30 00:00:00,,,Récurrent,2025-05,La Source,
2025-05-30,mai,Jour,60215731,Non-fait,262,Classe 1er cycle,Ncomptoir,Nettoyer comptoir,Route 3 - jour La Source,,0.75,2025-05-30 00:00:00,2025-05-30 00:00:00,,,Récurrent,2025-05,La Source,
2025-05-30,mai,Jour,60088920,Non-fait,139-B1,Local vide,Lplanchmo,Laver plancher moppe 24 oz,,,0.27,2025-05-30 00:00:00,2025-05-30 00:00:00,,,Récurrent,2025-05,,
2025-05-30,mai,Jour,60089103,Non-fait,270-B1,Classe 2e cycle,Ltableau,"Laver tableau,aguets, brosses si pas effacé",Route 1 - jour Bellecombe,,1.0,2025-05-30 00:00:00,2025-05-30 00:00:00,,,Récurrent,2025-05,Bellecombe,
2025-05-30,mai,Jour,60089315,Non-fait,1-003-B2,Corridor,Vplanch60,"Vadrouiller plancher 60""",Route 2 - jour Entre-Lacs,,6.9,2025-05-30 00:00:00,2025-05-30 00:00:00,,,Récurrent,2025-05,Entre-Lacs,
2025-05-30,mai,Jour,60089314,Non-fait,100-2-B2,Escalier,Drampes,Desinfecter rampes et main courantes,Route 2 - jour Entre-Lacs,,0.33,2025-05-30 00:00:00,2025-05-30 00:00:00,,,Récurrent,2025-05,Entre-Lacs,
2025-05-30,mai,Jour,60089313,Non-fait,100-2-B2,Escalier,Etaches,"Enlever toutes les tâches ou marques de souillures (sols, vitres, portes, murs, table, comptoir))",Route 2 - jour Entre-Lacs,,0.25,2025-05-30 00:00:00,2025-05-30 00:00:00,,,Récurrent,2025-05,Entre-Lacs,
2025-05-30,mai,Jour,60089421,Non-fait,267-B2,Classe 2e cycle,Ltableau,"Laver tableau,aguets, brosses si pas effacé",Route 2 - jour Entre-Lacs,,1.0,2025-05-30 00:00:00,2025-05-30 00:00:00,,,Récurrent,2025-05,Entre-Lacs,
2025-05-30,mai,Jour,60089422,Non-fait,267-B2,Classe 2e cycle,Nchaise,Nettoyer chaises,Route 2 - jour Entre-Lacs,,3.75,2025-05-30 00:00:00,2025-05-30 00:00:00,,,Récurrent,2025-05,Entre-Lacs,
2025-05-30,mai,Jour,60089312,Non-fait,100-2-B2,Escalier,Dsurfcont,"Desinfecter les surfaces de contact( interrupteurs,poignees porte,telephone,souris)",Route 2 - jour Entre-Lacs,,0.05,2025-05-30 00:00:00,2025-05-30 00:00:00,,,Récurrent,2025-05,Entre-Lacs,
2025-05-30,mai,Jour,60089016,Non-fait,119-2-B1,Escalier,Vplanch36,"Vadrouiller plancher 36""",Route 1 - jour Bellecombe,,1.11,2025-05-30 00:00:00,2025-05-30 00:00:00,,,Récurrent,2025-05,Bellecombe,
2025-05-30,mai,Jour,60089311,Non-fait,100-2-B2,Escalier,Lplanchmo,Laver plancher moppe 24 oz,Route 2 - jour Entre-Lacs,,1.0,2025-05-30 00:00:00,2025-05-30 00:00:00,,,Récurrent,2025-05,Entre-Lacs,
2025-05-30,mai,Jour,60215755,Non-fait,270,Classe 2e cycle,Ncomptoir,Nettoyer comptoir,Route 3 - jour La Source,,0.75,2025-05-30 00:00:00,2025-05-30 00:00:00,,,Récurrent,2025-05,La Source,
2025-05-30,mai,Jour,60215736,Non-fait,264,Classe 1er cycle,Vplanch24,"Vadrouiller sols 24""",Route 3 - jour La Source,,5.25,2025-05-30 00:00:00,2025-05-30 00:00:00,,,Récurrent,2025-05,La Source,
2025-05-30,mai,Jour,60215784,Non-fait,106,Magasin d'art,Dsurfcont,"Desinfecter les surfaces de contact( interrupteurs,poignees porte,telephone,souris)",,,0.05,2025-05-30 00:00:00,2025-05-30 00:00:00,,,Récurrent,2025-05,,
2025-05-30,mai,Jour,60215783,Non-fait,106,Magasin d'art,Vpoubelle,Vider poubelles et recupération,,,0.75,2025-05-30 00:00:00,2025-05-30 00:00:00,,,Récurrent,2025-05,,
2025-05-30,mai,Jour,60088995,Non-fait,100-2-B1,Escalier,Etaches,"Enlever toutes les tâches ou marques de souillures (sols, vitres, portes, murs, table, comptoir))",Route 1 - jour Bellecombe,,0.25,2025-05-30 00:00:00,2025-05-30 00:00:00,,,Récurrent,2025-05,Bellecombe,
2025-05-30,mai,Jour,60215739,Non-fait,265,Classe 2e cycle,Nchaise,Nettoyer chaises,Route 3 - jour La Source,,3.75,2025-05-30 00:00:00,2025-05-30 00:00:00,,,Récurrent,2025-05,La Source,
2025-05-30,mai,Jour,60215738,Non-fait,265,Classe 2e cycle,Ltableau,"Laver tableau,aguets, brosses si pas effacé",Route 3 - jour La Source,,1.0,2025-05-30 00:00:00,2025-05-30 00:00:00,,,Récurrent,2025-05,La Source,
2025-05-30,mai,Jour,60215737,Non-fait,264,Classe 1er cycle,Ncomptoir,Nettoyer comptoir,Route 3 - jour La Source,,0.75,2025-05-30 00:00:00,2025-05-30 00:00:00,,,Récurrent,2025-05,La Source,
